"Region","year","Total"
"Africa","X1996",88.0012847573088
"Africa","X1997",73.9144584260693
"Africa","X1998",105.21774580999
"Africa","X1999",114.170130546189
"Africa","X2000",106.406396767074
"Africa","X2001",104.470982774328
"Africa","X2002",66.196046772033
"Africa","X2003",94.4120265436132
"Africa","X2004",80.0725924105613
"Africa","X2005",45.0542246030088
"Africa","X2006",42.5634330376036
"Africa","X2007",40.0919655719295
"Africa","X2008",37.2206252948887
"Africa","X2009",38.4621695453421
"Africa","X2010",48.2372625772375
"Africa","X2011",56.8226394600743
"Africa","X2012",57.3903945820311
"Africa","X2013",59.700052273427
"Africa","X2014",60.4070679174987
"Africa","X2015",60.546948614188
"Africa","X2016",55.4117845117845
"Asia","X1996",93.5846751431461
"Asia","X1997",99.2458230844689
"Asia","X1998",109.502627151965
"Asia","X1999",121.239342862852
"Asia","X2000",128.402528725403
"Asia","X2001",136.951937061795
"Asia","X2002",145.805551389111
"Asia","X2003",149.949568826217
"Asia","X2004",158.654326102936
"Asia","X2005",162.765263575031
"Asia","X2006",161.887086040048
"Asia","X2007",159.046893337325
"Asia","X2008",166.132405476242
"Asia","X2009",180.81482935083
"Asia","X2010",184.528902948747
"Asia","X2011",197.405912825258
"Asia","X2012",202.477096670682
"Asia","X2013",207.587875533657
"Asia","X2014",211.340732452337
"Asia","X2015",210.665648683151
"Asia","X2016",197.780323054332
"Central America/Caribbean","X1996",68.4077647617816
"Central America/Caribbean","X1997",63.3794648354389
"Central America/Caribbean","X1998",60.9033974319386
"Central America/Caribbean","X1999",58.498023388114
"Central America/Caribbean","X2000",62.9840839123956
"Central America/Caribbean","X2001",67.7132505501158
"Central America/Caribbean","X2002",69.6802765141756
"Central America/Caribbean","X2003",73.6545257290576
"Central America/Caribbean","X2004",72.7767115800211
"Central America/Caribbean","X2005",71.4267854061103
"Central America/Caribbean","X2006",63.3835180542149
"Central America/Caribbean","X2007",54.8418827593632
"Central America/Caribbean","X2008",48.6141565553882
"Central America/Caribbean","X2009",51.0148368012502
"Central America/Caribbean","X2010",50.24240299194
"Central America/Caribbean","X2011",47.8379965096568
"Central America/Caribbean","X2012",46.5549793328498
"Central America/Caribbean","X2013",48.6455553925874
"Central America/Caribbean","X2014",49.4574486488632
"Central America/Caribbean","X2015",51.561646422235
"Central America/Caribbean","X2016",53.0183098591549
"Europe","X1996",54.0718531169178
"Europe","X1997",53.5579367174311
"Europe","X1998",60.2774143448195
"Europe","X1999",65.7337331130696
"Europe","X2000",52.9482305969694
"Europe","X2001",48.1171008371293
"Europe","X2002",46.1164581594223
"Europe","X2003",43.4922913105991
"Europe","X2004",40.9738611533514
"Europe","X2005",38.5893139103228
"Europe","X2006",37.5618878933596
"Europe","X2007",35.9214121649518
"Europe","X2008",37.5900476567428
"Europe","X2009",43.0188415319395
"Europe","X2010",47.5260995700769
"Europe","X2011",49.0073805511521
"Europe","X2012",49.5422033265499
"Europe","X2013",52.4519572491249
"Europe","X2014",54.03853863525
"Europe","X2015",54.3038839026492
"Europe","X2016",54.7284463185209
"Middle East","X1996",74.3737462114784
"Middle East","X1997",50.639876560739
"Middle East","X1998",62.1519424295386
"Middle East","X1999",54.99823742059
"Middle East","X2000",40.5230803656742
"Middle East","X2001",41.693893355623
"Middle East","X2002",41.5825994042245
"Middle East","X2003",37.1380483676371
"Middle East","X2004",31.3305924264515
"Middle East","X2005",22.3831729268861
"Middle East","X2006",18.7250540541663
"Middle East","X2007",16.5900317938621
"Middle East","X2008",14.7494333954546
"Middle East","X2009",20.688573306536
"Middle East","X2010",17.6926238513661
"Middle East","X2011",15.9669613036848
"Middle East","X2012",16.5233974872205
"Middle East","X2013",15.902545429887
"Middle East","X2014",15.8821235513774
"Middle East","X2015",22.8041917937731
"Middle East","X2016",43.1623255813954
"North America","X1996",89.8683422842949
"North America","X1997",85.695203357481
"North America","X1998",83.3962427067092
"North America","X1999",79.3635064441956
"North America","X2000",71.6865965827014
"North America","X2001",72.3838307595354
"North America","X2002",71.876415003779
"North America","X2003",70.3460509426488
"North America","X2004",69.711980297956
"North America","X2005",68.6447445309311
"North America","X2006",67.7388213203509
"North America","X2007",65.6239033426066
"North America","X2008",69.0913415169235
"North America","X2009",80.956296389411
"North America","X2010",84.8589398273059
"North America","X2011",86.4718020485979
"North America","X2012",89.8133592003698
"North America","X2013",91.3495467957255
"North America","X2014",91.46402536034
"North America","X2015",95.2829531461797
"North America","X2016",90.4875267225785
"Oceania","X1996",43.234547637781
"Oceania","X1997",40.220880327174
"Oceania","X1998",39.7089327148005
"Oceania","X1999",36.5366120409649
"Oceania","X2000",32.0377323991618
"Oceania","X2001",31.8903638711916
"Oceania","X2002",32.2571410973746
"Oceania","X2003",29.7897059669215
"Oceania","X2004",27.5346994436777
"Oceania","X2005",24.3757814772358
"Oceania","X2006",23.8117647434487
"Oceania","X2007",21.3927688437693
"Oceania","X2008",20.6668597465648
"Oceania","X2009",24.4419916981177
"Oceania","X2010",26.5145355965993
"Oceania","X2011",28.6542888949824
"Oceania","X2012",30.3808279699855
"Oceania","X2013",31.8805316369263
"Oceania","X2014",33.2057193684001
"Oceania","X2015",34.6404466556348
"Oceania","X2016",40.8156699119147
"South America","X1996",33.1747225083056
"South America","X1997",32.9401979732835
"South America","X1998",35.0049563969333
"South America","X1999",73.0466846130391
"South America","X2000",30.192229932041
"South America","X2001",29.7270074687611
"South America","X2002",32.0002767872828
"South America","X2003",28.7732990839645
"South America","X2004",25.4682749806216
"South America","X2005",22.2578146137279
"South America","X2006",19.4421929483896
"South America","X2007",18.1659126984024
"South America","X2008",17.8527706341744
"South America","X2009",18.9875031381573
"South America","X2010",21.0478060253098
"South America","X2011",22.9938106885611
"South America","X2012",24.2682498902622
"South America","X2013",25.4364881262705
"South America","X2014",27.6076624196706
"South America","X2015",30.6217439578631
"South America","X2016",30.7688044338876
"Southeast Asia","X1996",34.6097304458671
"Southeast Asia","X1997",34.5803790093063
"Southeast Asia","X1998",64.0540445768785
"Southeast Asia","X1999",80.2326624470145
"Southeast Asia","X2000",75.2409304568177
"Southeast Asia","X2001",66.615446628638
"Southeast Asia","X2002",60.1492234631011
"Southeast Asia","X2003",56.9077816926905
"Southeast Asia","X2004",53.5717133116746
"Southeast Asia","X2005",46.1062198035243
"Southeast Asia","X2006",39.7902994789343
"Southeast Asia","X2007",35.8714699279178
"Southeast Asia","X2008",34.37021181022
"Southeast Asia","X2009",33.065036405186
"Southeast Asia","X2010",31.6439603834029
"Southeast Asia","X2011",30.289486095283
"Southeast Asia","X2012",30.2195085120251
"Southeast Asia","X2013",31.3642364880306
"Southeast Asia","X2014",30.6508141831107
"Southeast Asia","X2015",32.2189130515308
"Southeast Asia","X2016",35.2601860132356
